epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9361,1.27514,5.42133,1.45091,0,0,0,0,0.99721,5.63176,1.01653,3.72e-06,3.72e-06,3.72e-06
2,76.0043,1.11835,5.36154,1.38354,0,0,0,0,0.95742,5.61292,0.99949,7.54137e-06,7.54137e-06,7.54137e-06
3,111.373,1.27143,5.51595,1.48369,0,0,0,0,0.96981,5.5803,0.99624,1.0442e-05,1.0442e-05,1.0442e-05
4,144.573,1.21744,5.54637,1.68841,0,0,0,0,0.94783,5.55192,0.98929,1.2422e-05,1.2422e-05,1.2422e-05
5,179.986,1.1712,5.59779,1.52491,0,0,0,0,0.95375,5.51483,0.98748,1.34813e-05,1.34813e-05,1.34813e-05
6,212.647,1.15644,5.54857,1.66669,0,0,0,0,0.9528,5.50887,0.98171,1.36199e-05,1.36199e-05,1.36199e-05
7,249.063,1.17266,5.58951,1.65329,0,0,0,0,0.9664,5.49535,0.98293,1.28377e-05,1.28377e-05,1.28377e-05
8,282.158,0.77677,5.37693,1.29734,0,0,0,0,0.96067,5.48302,0.98517,1.11349e-05,1.11349e-05,1.11349e-05
9,315.934,0.97667,5.55286,1.43783,0,0,0,0,0.94626,5.48273,0.98338,8.51136e-06,8.51136e-06,8.51136e-06
10,348.669,1.0796,5.64125,1.6065,0,0,0,0,0.95063,5.47929,0.98552,4.96713e-06,4.96713e-06,4.96713e-06
